Date,Austin,Dallas,Houston
01/01/2000,152,76,77
01/02/2000,54,60,52
01/03/2000,31,40,38
01/04/2000,21,47,52
01/05/2000,56,32,45
01/06/2000,42,52,55
01/07/2000,44,78,71
01/08/2000,48,69,70
01/09/2000,45,39,71
01/10/2000,20,48,57
01/11/2000,61,44,35
01/12/2000,56,55,51
01/13/2000,48,28,38
01/14/2000,25,40,49
01/15/2000,42,43,47
01/16/2000,34,36,40
01/17/2000,31,30,98
01/18/2000,34,58,35
01/19/2000,49,63,35
01/20/2000,23,31,51
01/21/2000,42,70,39
01/22/2000,59,55,61
01/23/2000,60,63,52
01/24/2000,39,44,68
01/25/2000,33,42,60
01/26/2000,37,40,64
01/27/2000,70,54,49
01/28/2000,45,57,61
01/29/2000,54,70,59
01/30/2000,71,85,54
01/31/2000,59,82,71
02/01/2000,59,65,70
02/02/2000,87,99,53
02/03/2000,70,63,52
02/04/2000,23,19,70
02/05/2000,35,52,60
02/06/2000,60,53,60
02/07/2000,38,56,60
02/08/2000,55,44,46
02/09/2000,57,48,61
02/10/2000,52,48,73
02/11/2000,57,97,54
02/12/2000,85,97,74
02/13/2000,52,66,67
02/14/2000,56,76,59
02/15/2000,60,66,55
02/16/2000,63,87,72
02/17/2000,33,51,47
02/18/2000,52,55,76
02/19/2000,59,73,71
02/20/2000,55,66,58
02/21/2000,57,60,36
02/22/2000,36,43,51
02/23/2000,30,19,39
02/24/2000,40,43,35
02/25/2000,49,46,47
02/26/2000,25,23,51
02/27/2000,43,38,57
02/28/2000,39,45,41
02/29/2000,34,35,59
03/01/2000,40,26,73
03/02/2000,42,58,60
03/03/2000,14,20,58
03/04/2000,22,42,62
03/05/2000,52,61,70
03/06/2000,43,68,59
03/07/2000,41,59,33
03/08/2000,52,50,37
03/09/2000,61,43,51
03/10/2000,67,60,55
03/11/2000,22,50,27
03/12/2000,22,51,60
03/13/2000,40,54,51
03/14/2000,41,63,58
03/15/2000,35,56,57
03/16/2000,46,42,43
03/17/2000,14,54,40
03/18/2000,47,52,48
03/19/2000,58,23,46
03/20/2000,33,32,61
03/21/2000,35,44,62
03/22/2000,38,62,48
03/23/2000,35,47,53
03/24/2000,47,57,61
03/25/2000,48,51,64
03/26/2000,56,47,55
03/27/2000,50,37,65
03/28/2000,63,58,70
03/29/2000,49,55,42
03/30/2000,44,34,57
03/31/2000,63,58,24
04/01/2000,81,79,43
04/02/2000,60,73,48
04/03/2000,32,51,51
04/04/2000,25,28,31
04/05/2000,34,34,36
04/06/2000,32,39,44
04/07/2000,45,39,51
04/08/2000,18,30,35
04/09/2000,30,35,53
04/10/2000,35,42,68
04/11/2000,45,40,60
04/12/2000,20,56,48
04/13/2000,52,59,71
04/14/2000,69,61,58
04/15/2000,52,61,53
04/16/2000,48,33,43
04/17/2000,52,50,45
04/18/2000,56,71,50
04/19/2000,54,62,62
04/20/2000,31,30,56
04/21/2000,34,33,62
04/22/2000,40,64,81
04/23/2000,50,55,65
04/24/2000,48,56,60
04/25/2000,52,58,70
04/26/2000,60,64,63
04/27/2000,52,62,40
04/28/2000,56,37,61
04/29/2000,59,60,56
04/30/2000,67,80,54
05/01/2000,35,22,61
05/02/2000,29,27,53
05/03/2000,52,47,44
05/04/2000,63,42,54
05/05/2000,61,61,56
05/06/2000,64,66,53
05/07/2000,54,57,62
05/09/2000,59,64,64
05/10/2000,63,49,56
05/11/2000,94,62,55
05/12/2000,81,98,54
05/13/2000,30,72,60
05/14/2000,30,26,64
05/15/2000,52,42,52
05/16/2000,44,58,39
05/17/2000,44,59,60
05/18/2000,50,48,62
05/19/2000,43,52,58
05/20/2000,29,28,54
05/21/2000,52,35,58
05/23/2000,49,66,67
05/24/2000,43,54,58
05/25/2000,58,44,57
05/26/2000,70,48,54
05/27/2000,65,57,56
05/28/2000,34,75,63
05/29/2000,53,63,65
05/30/2000,33,35,66
05/31/2000,31,65,48
06/01/2000,33,62,72
06/02/2000,45,63,56
06/03/2000,33,63,54
06/04/2000,26,64,61
06/05/2000,36,49,71
06/06/2000,40,22,53
06/07/2000,55,31,54
06/08/2000,59,43,42
06/09/2000,36,58,56
06/10/2000,46,75,59
06/11/2000,48,57,51
06/12/2000,47,55,25
06/13/2000,38,38,38
06/14/2000,52,60,56
06/15/2000,40,45,35
06/16/2000,36,35,35
06/17/2000,43,38,54
06/18/2000,45,38,56
06/19/2000,38,37,56
06/20/2000,33,35,68
06/21/2000,55,41,37
06/22/2000,58,33,45
06/23/2000,64,38,52
06/24/2000,60,55,66
06/25/2000,38,69,58
06/26/2000,46,62,62
06/27/2000,54,43,76
06/28/2000,79,58,63
06/29/2000,74,50,63
06/30/2000,51,38,60
07/01/2000,67,42,52
07/02/2000,67,65,64
07/03/2000,93,59,67
07/04/2000,93,70,60
07/05/2000,57,97,56
07/06/2000,57,95,75
07/07/2000,50,63,62
07/08/2000,53,67,58
07/09/2000,52,65,68
07/10/2000,43,68,63
07/11/2000,62,71,56
07/12/2000,54,40,61
07/13/2000,55,60,52
07/14/2000,61,57,47
07/15/2000,63,54,77
07/16/2000,48,56,74
07/17/2000,51,64,54
07/18/2000,46,55,84
07/19/2000,34,59,76
07/20/2000,60,54,78
07/21/2000,61,51,77
07/22/2000,51,58,70
07/23/2000,39,63,53
07/24/2000,62,55,50
07/25/2000,54,45,34
07/26/2000,43,66,48
07/27/2000,54,74,60
07/28/2000,48,122,60
07/29/2000,31,70,56
07/30/2000,36,65,62
07/31/2000,36,46,52
08/01/2000,45,48,53
08/02/2000,51,61,56
08/03/2000,47,68,40
08/04/2000,44,66,58
08/05/2000,38,64,56
08/06/2000,33,56,63
08/07/2000,40,56,69
08/08/2000,30,33,73
08/09/2000,40,51,55
08/10/2000,43,40,52
08/11/2000,43,38,85
08/12/2000,59,57,72
08/13/2000,63,62,75
08/14/2000,56,70,91
08/15/2000,35,80,63
08/16/2000,50,75,67
08/17/2000,58,55,75
08/18/2000,63,67,63
08/19/2000,67,57,66
08/20/2000,58,62,59
08/21/2000,41,65,50
08/22/2000,60,64,57
08/23/2000,56,59,63
08/24/2000,45,75,66
08/25/2000,36,79,51
08/26/2000,33,66,63
08/27/2000,28,64,67
08/28/2000,31,39,62
08/29/2000,31,31,66
08/30/2000,32,42,65
08/31/2000,54,46,84
09/01/2000,64,53,129
09/02/2000,63,56,63
09/03/2000,55,67,55
09/04/2000,59,71,45
09/05/2000,69,68,52
09/06/2000,70,71,45
09/07/2000,79,75,42
09/08/2000,55,73,34
09/09/2000,52,74,54
09/10/2000,46,58,60
09/11/2000,52,40,54
09/12/2000,31,54,57
09/13/2000,30,54,75
09/14/2000,24,35,75
09/15/2000,36,44,38
09/16/2000,57,41,30
09/17/2000,49,50,44
09/18/2000,57,62,46
09/19/2000,61,52,35
09/20/2000,36,56,26
09/21/2000,23,62,86
09/22/2000,33,46,55
09/23/2000,43,53,63
09/24/2000,31,45,75
09/25/2000,8,52,91
09/26/2000,18,28,76
