"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2000","152","","Austin Webberville Rd","48-453-0021","AQS"
"01/02/2000","54","","Austin Audubon Society","48-453-0020","AQS"
"01/03/2000","31","","Austin Webberville Rd","48-453-0021","AQS"
"01/04/2000","21","","Austin Webberville Rd","48-453-0021","AQS"
"01/05/2000","56","","Austin Webberville Rd","48-453-0021","AQS"
"01/06/2000","42","","Austin Webberville Rd","48-453-0021","AQS"
"01/07/2000","44","","Austin Webberville Rd","48-453-0021","AQS"
"01/08/2000","48","","Austin Webberville Rd","48-453-0021","AQS"
"01/09/2000","45","","Austin Webberville Rd","48-453-0021","AQS"
"01/10/2000","20","","W OF KANE AVE. WEST & 5TH ST. INTERSECTION","48-055-0062","AQS"
"01/11/2000","61","","Austin Webberville Rd","48-453-0021","AQS"
"01/12/2000","56","","Austin Webberville Rd","48-453-0021","AQS"
"01/13/2000","48","","Austin Webberville Rd","48-453-0021","AQS"
"01/14/2000","25","","Austin Webberville Rd","48-453-0021","AQS"
"01/15/2000","42","","Austin Webberville Rd","48-453-0021","AQS"
"01/16/2000","34","","Austin Webberville Rd","48-453-0021","AQS"
"01/17/2000","31","","Austin Webberville Rd","48-453-0021","AQS"
"01/18/2000","34","","Austin Webberville Rd","48-453-0021","AQS"
"01/19/2000","49","","Austin Webberville Rd","48-453-0021","AQS"
"01/20/2000","23","","Austin Audubon Society","48-453-0020","AQS"
"01/21/2000","42","","Austin Webberville Rd","48-453-0021","AQS"
"01/22/2000","59","","Austin Webberville Rd","48-453-0021","AQS"
"01/23/2000","60","","Austin Webberville Rd","48-453-0021","AQS"
"01/24/2000","39","","Austin Webberville Rd","48-453-0021","AQS"
"01/25/2000","33","","Austin Webberville Rd","48-453-0021","AQS"
"01/26/2000","37","","Austin Webberville Rd","48-453-0021","AQS"
"01/27/2000","70","","Austin Webberville Rd","48-453-0021","AQS"
"01/28/2000","45","","Austin Webberville Rd","48-453-0021","AQS"
"01/29/2000","54","","Austin Webberville Rd","48-453-0021","AQS"
"01/30/2000","71","","Austin Webberville Rd","48-453-0021","AQS"
"01/31/2000","59","","Austin Webberville Rd","48-453-0021","AQS"
"02/01/2000","59","","Austin Webberville Rd","48-453-0021","AQS"
"02/02/2000","87","","Austin Webberville Rd","48-453-0021","AQS"
"02/03/2000","70","","Austin Webberville Rd","48-453-0021","AQS"
"02/04/2000","23","","Austin Webberville Rd","48-453-0021","AQS"
"02/05/2000","35","","Austin Webberville Rd","48-453-0021","AQS"
"02/06/2000","60","","Austin Webberville Rd","48-453-0021","AQS"
"02/07/2000","38","","Austin Webberville Rd","48-453-0021","AQS"
"02/08/2000","55","","Austin Webberville Rd","48-453-0021","AQS"
"02/09/2000","57","","Austin Webberville Rd","48-453-0021","AQS"
"02/10/2000","52","","Austin Webberville Rd","48-453-0021","AQS"
"02/11/2000","57","","Austin Webberville Rd","48-453-0021","AQS"
"02/12/2000","85","","Austin Webberville Rd","48-453-0021","AQS"
"02/13/2000","52","","Austin Webberville Rd","48-453-0021","AQS"
"02/14/2000","56","","Austin Webberville Rd","48-453-0021","AQS"
"02/15/2000","60","","Austin Audubon Society","48-453-0020","AQS"
"02/16/2000","63","","Austin Webberville Rd","48-453-0021","AQS"
"02/17/2000","33","","Austin Webberville Rd","48-453-0021","AQS"
"02/18/2000","52","","Austin Audubon Society","48-453-0020","AQS"
"02/19/2000","59","","Austin Webberville Rd","48-453-0021","AQS"
"02/20/2000","55","","Austin Webberville Rd","48-453-0021","AQS"
"02/21/2000","57","","Austin Webberville Rd","48-453-0021","AQS"
"02/22/2000","36","","Austin Webberville Rd","48-453-0021","AQS"
"02/23/2000","30","","Austin Webberville Rd","48-453-0021","AQS"
